Carimbo de data/hora,Squad,Demanda,Demanda descrição,Qual o tipo de abordagem (tratar como problema ou oportunidade) [problema = interno e repetido; oportunidade = externo e competição],"Qual o tipo de escopo (operação: core ou o que já fazemos, melhorias, correções; inovação não temos ou conhecemos parcialmente)?","Principal Impacto (pensando em visibilidade a demanda é mais mercado, mais user ou mais plataforma-arquitetura-tecnologia)?",Esforço técnico para entregar em produção,Qual o impacto econômico que poderá trazer?,Observações adicionais,Avaliação
31/10/2025 11:57:25,T1,Chat do Portal de Compras Públicas -v3,"O Chat é um módulo de comunicação integrado ao Portal de Compras Públicas, criado para facilitar e registrar a interação entre os agentes públicos e os fornecedores durante as etapas dos processos de contratação (pregões, dispensas, concorrências, etc.).
O objetivo é oferecer uma ferramenta oficial, transparente e auditável, substituindo comunicações informais (como e-mails ou mensagens externas) por um canal institucional, com rastreabilidade, logs e conformidade legal.",Oportunidade,Inovação,"Mercado (leis, compliance, pedidos de clientes, competição)",Alto (91 dias a 180 dias),Baixo (ex.: até o custo da squad),"A visão é que o Chat se torne um hub central de comunicação dentro do ecossistema do Portal, conectando órgãos públicos, fornecedores, consultores e suporte técnico, mantendo todos os registros de forma segura, transparente e interoperável com os demais módulos da plataforma.",
31/10/2025 12:02:22,Martech,InovaHub - Monitoramento da Concorrência V2,"Scrapar notícias de competidores, (Instagram e notícias) classificá-las e exibir insights acionáveis para decisões estratégicas.",Oportunidade,Inovação,"Mercado (leis, compliance, pedidos de clientes, competição)",Outro,Demanda criada por phill e requer avaliação com o mesmo,Demanda criada por phill e requer avaliação com o mesmo,Esforço desconhecido
31/10/2025 12:03:42,Martech,Monitoramento da integridade das IAs (Foco no RAG Oracle),"Implementar uma rotina diária de verificação do funcionamento correto do serviço de categorização RAG. A verificação usará uma amostra de dados, comparará os resultados retornados com as categorias esperadas e, em caso de divergências notificar e congelar uso a fim de reduzir custos indevidos.",Problema,Operação,"Plataforma (tecnologia, escala, disponibilidade, barreira tecnológica, produtividade)",Outro,Demanda criada por phill e requer avaliação com o mesmo,"Demanda criada por phill e requer avaliação com o mesmo
",Esforço desconhecido
31/10/2025 12:03:44,Martech,REFIT DO SITE PUBLICO DO PORTAL,nesse momento a iniciativa tem objetivo de entregar IA trazendo o objeto da licitação resumido e sanando problemas da área logada com esse preenchimento + indexação de produto por local (licitação de café em minas gerais) + layout novo + autoatendimento integrado ao produto desde 27/10 conforme alinhado com T2.,Oportunidade,80% Operação + 20% inovação em algumas funcionalidades,"Experiência / Jornada (jornada de uso, engajamento, retenção)",Baixo (~15 dias a 30 dias),"o ROI calculado inicialmente foi de 24% considerando apenas squad Martech [cálculo em mar/25, possível recalcular]  ",,Explanar
31/10/2025 12:04:51,Martech,Onboarding Inteligente: Novos Fluxos Interativos,Implementar gatilhos omnichannel com oferta de processos para reduzir tempo de ativação e aumentar conversão.,Oportunidade,Inovação,"Mercado (leis, compliance, pedidos de clientes, competição)",Outro,Demanda criada por phill e requer avaliação com o mesmo,"Demanda criada por phill e requer avaliação com o mesmo
",Esforço desconhecido
31/10/2025 12:05:43,Martech,BuscaPRO v2 - Versão Integrada ao Site PCP,"Disponibilizar engine de busca utilizando Itens em vez de Objeto com filtros avançados no PCP para facilitar busca de processos, aumentando competitividade e reduzindo desertos.",Oportunidade,Inovação,"Experiência / Jornada (jornada de uso, engajamento, retenção)",Outro,Demanda criada por phill e requer avaliação com o mesmo,"Demanda criada por phill e requer avaliação com o mesmo
",Esforço desconhecido
31/10/2025 12:06:49,Martech,Recomendação de Processos - Fritz: Aplicação em Jornada,Desenvolver Jornada que sugere oportunidades aderentes ao perfil do fornecedor para aumentar participação e ticket médio.,Oportunidade,Inovação,"Experiência / Jornada (jornada de uso, engajamento, retenção)",Outro,Demanda criada por phill e requer avaliação com o mesmo,"Demanda criada por phill e requer avaliação com o mesmo
",Esforço desconhecido
31/10/2025 12:07:50,Martech,Encurtador de URL - Atualização V2,Atualizar engine para obter relatórios em tempo real para padronizar links de campanha e aprimorar métricas.,Oportunidade,Operação,"Plataforma (tecnologia, escala, disponibilidade, barreira tecnológica, produtividade)",Outro,Demanda criada por phill e requer avaliação com o mesmo,"Demanda criada por phill e requer avaliação com o mesmo
",Esforço desconhecido
31/10/2025 12:09:07,Martech,LP Aviso de Licitação - Atualização de Jornada e Performance,"Atualizar copy, melhorar Jornada de Cadastro, velocidade da landing page para elevar a conversão/reduzir CPL.",Oportunidade,Operação,"Plataforma (tecnologia, escala, disponibilidade, barreira tecnológica, produtividade)",Outro,Demanda criada por phill e requer avaliação com o mesmo,"Demanda criada por phill e requer avaliação com o mesmo
LP, de cadastro gratuito:
Aviso de licitações - Portal de Compras Públicas 

Já mexemos diversas veze…mas pelo pedido acima (da descrição), não está tudo implementado…entendo que seria nova demanda para projeto já criado…penso que não seria uma iniciativa mas sim uma melhoria em um item vigente",Esforço desconhecido
31/10/2025 12:10:15,Martech,InovaHub - Nova Estrutura + Autenticação + Segurança,"Refatorar modelo utilizado, adicionar SSO do Gmail para unificar sistemas internos e mitigar riscos de acesso.",Problema,Operação,"Plataforma (tecnologia, escala, disponibilidade, barreira tecnológica, produtividade)",Outro,Demanda criada por phill e requer avaliação com o mesmo,"Demanda criada por phill e requer avaliação com o mesmo
Bom, não foi feito visto que sequer lançamos a V1 do projeto, entender mais

",Esforço desconhecido
